MCLU,TIME[Myr],Z,NB_P,EBIN
1020,76.5,0.02,0,1.0572771591086606e+48
1020,76.5,0.02,1,6.98452577922546e+46
1020,65.5,0.02,0,1.057420469208144e+48
1020,65.5,0.02,1,7.471500469639077e+46
1020,88.25,0.02,0,1.007659588694704e+48
1020,88.25,0.02,1,6.918298368972598e+46
1020,98.5,0.02,0,7.542429933483507e+46
1020,98.5,0.02,1,6.844611928301165e+46
1020,39.75,0.02,0,7.75081696993476e+48
1020,39.75,0.02,1,8.895635864143751e+46
1020,56.5,0.02,0,3.336393433395143e+48
1020,56.5,0.02,1,7.742827561548514e+46
1020,94.75,0.02,0,9.60681790685886e+47
1020,94.75,0.02,1,6.878433004590769e+46
1020,24.25,0.02,0,1.0292692447516209e+49
1020,24.25,0.02,1,9.24547827729286e+46
1020,72.75,0.02,0,1.0568488453630016e+48
1020,72.75,0.02,1,7.482820617694923e+46
1020,38.25,0.02,0,1.0268531423169328e+49
1020,38.25,0.02,1,8.942170454195458e+46
1020,49.25,0.02,0,3.325703834958417e+48
1020,49.25,0.02,1,7.802030867955274e+46
1020,71.25,0.02,0,1.0570529634418286e+48
1020,71.25,0.02,1,7.483060539103793e+46
1020,84.5,0.02,0,1.0559786410414578e+48
1020,84.5,0.02,1,6.960531342654397e+46
1020,58.75,0.02,0,2.7093849003664433e+48
1020,58.75,0.02,1,7.682978414167673e+46
1020,11.0,0.02,0,3.3185013944762356e+49
1020,11.0,0.02,1,9.57388206268339e+46
1020,8.75,0.02,0,3.328055122562145e+49
1020,8.75,0.02,1,9.561349898336603e+46
1020,5.25,0.02,0,3.3353537232869704e+49
1020,5.25,0.02,1,9.567963101704006e+46
1020,6.0,0.02,0,3.333535186051356e+49
1020,6.0,0.02,1,9.561110326382386e+46
1020,68.5,0.02,0,1.0571671848836799e+48
1020,68.5,0.02,1,7.477184270290342e+46
1020,95.5,0.02,0,9.61023567845909e+47
1020,95.5,0.02,1,6.844212983853489e+46
1020,60.25,0.02,0,1.0586219232252549e+48
1020,60.25,0.02,1,7.483869313847994e+46
1020,50.0,0.02,0,3.3284872963842405e+48
1020,50.0,0.02,1,7.797178252689224e+46
1020,61.75,0.02,0,1.0575918671806396e+48
1020,61.75,0.02,1,7.473799548760855e+46
1020,79.5,0.02,0,1.7045059980992337e+47
1020,79.5,0.02,1,6.977394993596335e+46
1020,1.5,0.02,0,8.14544435403695e+44
