Z,MCLU,TIME[Myr],NB_P
0.02,1012,6.0,0.6192307692307693
0.02,1012,32.25,0.5132743362831859
0.02,1012,40.75,0.5248868778280543
0.02,1012,91.5,0.45365853658536587
0.02,1012,15.75,0.625
0.02,1012,50.0,0.5159817351598174
0.02,1012,70.5,0.5094339622641509
0.02,1012,100.0,0.4852941176470588
0.02,1012,15.25,0.6055776892430279
0.02,1012,19.0,0.6058091286307054
0.02,1012,87.5,0.5145631067961165
0.02,1012,48.0,0.5342465753424658
0.02,1012,82.25,0.5096153846153846
0.02,1012,86.75,0.5
0.02,1012,45.5,0.48623853211009177
0.02,1012,59.25,0.49295774647887325
0.02,1012,90.25,0.5
0.02,1012,78.25,0.5119617224880383
0.02,1012,94.75,0.5072463768115942
0.02,1012,92.0,0.49029126213592233
0.02,1012,2.75,0.6292134831460674
0.02,1012,96.0,0.4830917874396135
0.02,1012,20.5,0.5774058577405857
0.02,1012,77.75,0.5119617224880383
0.02,1012,14.5,0.576
0.02,1012,73.75,0.46919431279620855
0.02,1012,98.0,0.46116504854368934
0.02,1012,46.0,0.5045871559633027
0.02,1012,67.0,0.49065420560747663
0.02,1012,43.5,0.5159817351598174
0.02,1012,11.75,0.6126482213438735
0.02,1015,20.25,0.5620437956204379
0.02,1015,83.5,0.49377593360995853
0.02,1015,97.0,0.4895397489539749
0.02,1015,30.25,0.5328185328185329
0.02,1015,69.0,0.524390243902439
0.02,1015,38.25,0.52734375
0.02,1015,24.5,0.5259259259259259
0.02,1015,2.25,0.5947712418300654
0.02,1015,74.0,0.540650406504065
0.02,1015,75.5,0.5040650406504065
0.02,1015,63.25,0.4939271255060729
0.02,1015,79.75,0.48148148148148145
0.02,1015,18.75,0.5547445255474452
0.02,1015,19.5,0.5437956204379562
0.02,1015,72.75,0.483739837398374
0.02,1015,31.0,0.5328185328185329
0.02,1015,56.0,0.516
0.02,1015,33.0,0.5232558139534884
0.02,1015,26.5,0.5355805243445693
0.02,1015,32.25,0.562015503875969
0.02,1015,58.25,0.4817813765182186
0.02,1015,44.0,0.5177865612648221
0.02,1015,8.0,0.5528169014084507
0.02,1015,89.25,0.48535564853556484
0.02,1015,61.25,0.524390243902439
0.02,1015,70.5,0.5040650406504065
0.02,1015,10.0,0.5373665480427047
0.02,1015,27.25,0.5526315789473685
0.02,1015,79.25,0.512396694214876
0.02,1015,99.25,0.5126050420168067
0.02,1015,78.5,0.5267489711934157
0.02,1015,4.25,0.5563139931740614
0.02,1015,74.75,0.5365853658536586
0.02,1015,64.0,0.5241935483870968
0.02,1015,86.25,0.5291666666666667
0.02,1015,96.5,0.5230125523012552
0.02,1015,38.75,0.5490196078431373
0.02,1015,55.5,0.5381526104417671
0.02,1015,92.75,0.4708333333333333
0.02,1015,23.75,0.562962962962963
0.02,1015,71.25,0.5121951219512195
0.02,1015,37.5,0.5294117647058824
0.02,1015,48.25,0.5258964143426295
0.02,1015,69.75,0.508130081300813
0.02,1015,82.75,0.48132780082987553
0.02,1015,57.5,0.5141700404858299
0.02,1015,10.75,0.5815602836879432
0.02,1015,8.75,0.5390070921985816
0.02,1015,5.0,0.5136986301369864
0.02,1015,5.75,0.5432525951557093
0.02,1015,67.0,0.524390243902439
0.02,1015,93.5,0.502092050209205
0.02,1015,59.0,0.532520325203252
0.02,1015,49.0,0.568
0.02,1015,60.5,0.4715447154471545
0.02,1015,77.75,0.5102040816326531
0.02,1015,1.5,0.5936507936507937
0.02,1015,90.75,0.5230125523012552
0.02,1015,62.5,0.516260162601626
0.02,1015,28.0,0.5433962264150943
0.02,1015,54.0,0.5140562248995983
0.02,1015,39.5,0.54296875
0.02,1015,0.0,1.0
0.02,1015,46.75,0.503968253968254
0.02,1015,11.5,0.5836298932384342
0.02,1015,45.25,0.5277777777777778
0.02,1015,51.0,0.524
0.02,1015,76.25,0.516260162601626
0.02,1015,61.75,0.5203252032520326
0.02,1015,13.75,0.5575539568345323
0.02,1015,88.5,0.5208333333333334
0.02,1015,56.75,0.4899598393574297
0.02,1015,15.0,0.5555555555555556
0.02,1015,43.25,0.5275590551181102
0.02,1015,68.25,0.508130081300813
0.02,1015,7.25,0.554006968641115
0.02,1015,41.75,0.562992125984252
0.02,1015,21.5,0.5384615384615384
0.02,1015,23.0,0.5424354243542435
0.02,1015,72.0,0.5447154471544715
0.02,1015,36.0,0.5
0.02,1015,82.0,0.49377593360995853
0.02,1015,42.5,0.5354330708661418
0.02,1015,59.75,0.5284552845528455
0.02,1015,51.75,0.5301204819277109
0.02,1015,26.0,0.5318352059925093
0.02,1015,29.5,0.5478927203065134
0.02,1015,67.75,0.5121951219512195
0.02,1015,0.75,0.5963855421686747
0.02,1015,40.25,0.53515625
0.02,1015,12.25,0.5444839857651246
0.02,1015,65.5,0.5263157894736842
0.02,1015,84.25,0.4896265560165975
0.02,1015,18.0,0.5255474452554745
0.02,1015,14.5,0.539568345323741
0.02,1015,28.75,0.5725190839694656
0.02,1015,33.75,0.5525291828793775
0.02,1015,87.75,0.5083333333333333
0.02,1015,92.0,0.5041666666666667
0.02,1015,94.25,0.49372384937238495
0.02,1015,46.0,0.5317460317460317
0.02,1015,41.0,0.5333333333333333
0.02,1015,91.25,0.5313807531380753
0.02,1015,53.25,0.5180722891566265
0.02,1015,31.75,0.5697674418604651
0.02,1015,81.25,0.5
0.02,1015,66.25,0.5344129554655871
0.02,1015,34.5,0.5408560311284046
0.02,1015,9.25,0.574468085106383
0.02,1015,87.0,0.5125
0.02,1015,25.25,0.5204460966542751
0.02,1015,3.5,0.5405405405405406
0.02,1015,97.75,0.48535564853556484
0.02,1015,36.75,0.5529411764705883
0.02,1015,6.5,0.5448275862068965
0.02,1015,35.25,0.5019607843137255
0.02,1015,44.5,0.5595238095238095
0.02,1015,100.0,0.4831932773109244
0.02,1015,17.25,0.5620437956204379
0.02,1015,54.75,0.5140562248995983
0.02,1015,77.0,0.5040650406504065
0.02,1015,16.5,0.5527272727272727
0.02,1015,20.75,0.5682656826568265
0.02,1015,95.75,0.5313807531380753
0.02,1015,52.5,0.54
0.02,1015,90.0,0.4769874476987448
0.02,1015,95.0,0.48535564853556484
0.02,1015,49.75,0.536
0.02,1015,64.75,0.5141700404858299
0.02,1015,98.5,0.4831932773109244
0.02,1015,85.5,0.475
0.02,1015,3.0,0.5266666666666666
0.02,1015,22.25,0.5772058823529411
0.02,1015,85.0,0.5020746887966805
0.02,1015,15.75,0.5503597122302158
0.02,1015,80.5,0.51440329218107
0.02,1015,50.25,0.528
0.02,1015,73.5,0.5203252032520326
0.02,1015,47.5,0.5238095238095238
0.02,1015,13.0,0.564748201438849
0.02,1005,25.75,0.6638297872340425
0.02,1005,38.5,0.6063348416289592
0.02,1005,88.0,0.5347593582887701
0.02,1005,48.5,0.6009615384615384
0.02,1005,31.25,0.6478260869565218
0.02,1005,2.75,0.6793893129770993
0.02,1005,94.5,0.532608695652174
0.02,1005,96.25,0.5714285714285714
0.02,1005,80.75,0.5492227979274611
0.02,1005,23.75,0.6212765957446809
0.02,1005,24.75,0.6553191489361702
0.02,1005,92.75,0.5519125683060109
0.02,1005,39.5,0.6009174311926605
0.02,1005,71.5,0.5846153846153846
0.02,1005,42.25,0.6082949308755761
0.02,1005,34.0,0.6238938053097345
0.02,1005,41.25,0.6009174311926605
0.02,1005,74.25,0.5384615384615384
0.02,1005,56.0,0.5665024630541872
0.02,1005,10.0,0.6972111553784861
0.02,1005,78.0,0.5647668393782384
0.02,1005,90.0,0.5591397849462365
0.02,1005,12.75,0.6414342629482072
0.02,1005,34.75,0.6123348017621145
0.02,1005,100.0,0.5524861878453039
0.02,1005,5.5,0.72265625
0.02,1005,95.5,0.5760869565217391
0.02,1005,81.75,0.5885416666666666
0.02,1005,49.5,0.5980861244019139
0.02,1005,70.75,0.5948717948717949
0.02,1005,30.25,0.6493506493506493
0.02,1005,90.75,0.5108695652173914
0.02,1005,47.75,0.5885167464114832
0.02,1005,61.5,0.595
0.02,1005,89.0,0.5454545454545454
0.02,1005,73.5,0.5692307692307692
0.02,1005,13.75,0.68
0.02,1005,11.0,0.6968503937007874
0.02,1005,6.5,0.7007874015748031
0.02,1005,7.25,0.6679841897233202
0.02,1005,85.25,0.5425531914893617
0.02,1005,75.25,0.5721649484536082
0.02,1005,62.5,0.5505050505050505
0.02,1005,77.0,0.6030927835051546
0.02,1005,99.0,0.574585635359116
0.02,1005,1.75,0.6958174904942965
0.02,1005,79.75,0.5595854922279793
0.02,1005,35.75,0.6383928571428571
0.02,1005,68.75,0.558974358974359
0.02,1005,50.5,0.5865384615384616
0.02,1005,0.0,1.0
0.02,1005,59.75,0.5671641791044776
0.02,1005,14.75,0.6546184738955824
0.02,1005,57.75,0.5615763546798029
0.02,1005,65.25,0.5728643216080402
0.02,1005,97.25,0.5355191256830601
0.02,1005,79.0,0.6113989637305699
0.02,1005,17.5,0.6693877551020408
0.02,1005,72.5,0.6205128205128205
0.02,1005,19.25,0.6721311475409836
0.02,1005,55.0,0.5911330049261084
0.02,1005,87.25,0.5347593582887701
0.02,1005,9.25,0.7058823529411765
0.02,1005,53.25,0.6048780487804878
0.02,1005,27.5,0.6351931330472103
0.02,1005,29.25,0.6130434782608696
0.02,1005,91.75,0.5409836065573771
0.02,1005,45.75,0.6066350710900474
0.02,1005,54.25,0.6206896551724138
0.02,1005,76.25,0.5927835051546392
0.02,1005,66.0,0.5979899497487438
0.02,1005,33.0,0.6096491228070176
0.02,1005,37.5,0.5900900900900901
0.02,1005,86.25,0.5561497326203209
0.02,1005,1.0,0.6802973977695167
0.02,1005,51.5,0.6127450980392157
0.02,1005,15.5,0.6814516129032258
0.02,1005,83.5,0.5396825396825397
0.02,1005,23.0,0.6820083682008368
0.02,1005,18.25,0.6626016260162602
0.02,1005,36.75,0.5964125560538116
0.02,1005,43.0,0.6009174311926605
0.02,1005,58.75,0.5693069306930693
0.02,1005,52.25,0.5658536585365853
0.02,1005,68.0,0.5663265306122449
0.02,1005,40.25,0.6146788990825688
0.02,1005,84.5,0.5904255319148937
0.02,1005,44.0,0.6
0.02,1005,12.0,0.68359375
0.02,1005,32.0,0.6491228070175439
0.02,1005,4.5,0.71484375
0.02,1005,46.75,0.6057692307692307
0.02,1005,8.25,0.6850393700787402
0.02,1005,45.0,0.5876777251184834
0.02,1005,57.0,0.5763546798029556
0.02,1005,22.0,0.6401673640167364
0.02,1005,69.75,0.5538461538461539
0.02,1005,98.25,0.5469613259668509
0.02,1005,21.0,0.6625
0.02,1005,26.5,0.6196581196581197
0.02,1005,67.0,0.5606060606060606
0.02,1005,63.25,0.5808080808080808
0.02,1005,82.5,0.581151832460733
0.02,1005,3.75,0.6923076923076923
0.02,1005,28.5,0.6163793103448276
0.02,1005,20.25,0.6680497925311203
0.02,1005,64.25,0.5454545454545454
0.02,1005,93.5,0.5434782608695652
0.02,1005,60.5,0.5920398009950248
0.02,1005,16.5,0.6829268292682927
0.02,1034,18.75,0.5704697986577181
0.02,1034,77.75,0.50390625
0.02,1034,90.5,0.5241935483870968
0.02,1034,28.25,0.5371024734982333
0.02,1034,64.5,0.555984555984556
0.02,1034,35.5,0.5412186379928315
0.02,1034,22.75,0.5532646048109966
0.02,1034,2.0,0.6264367816091954
0.02,1034,69.25,0.5291828793774319
0.02,1034,70.5,0.5098039215686274
0.02,1034,59.0,0.5378787878787878
0.02,1034,74.5,0.531496062992126
0.02,1034,17.5,0.5581395348837209
0.02,1034,18.0,0.5604026845637584
0.02,1034,67.75,0.5271317829457365
0.02,1034,28.75,0.5266903914590747
0.02,1034,52.25,0.5355805243445693
0.02,1034,30.75,0.5335689045936396
0.02,1034,24.75,0.5501730103806228
0.02,1034,30.25,0.558303886925795
0.02,1034,54.25,0.5283018867924528
0.02,1034,41.0,0.5342960288808665
0.02,1034,7.5,0.5942492012779552
0.02,1034,83.25,0.5378486055776892
0.02,1034,57.0,0.5095057034220533
0.02,1034,65.75,0.5581395348837209
0.02,1034,9.5,0.5659163987138264
0.02,1034,25.5,0.5594405594405595
0.02,1034,73.75,0.5393700787401575
0.02,1034,92.5,0.5
0.02,1034,73.25,0.5275590551181102
0.02,1034,4.0,0.5775075987841946
0.02,1034,69.75,0.54296875
0.02,1034,59.75,0.5340909090909091
0.02,1034,80.5,0.5396825396825397
0.02,1034,97.25,0.49387755102040815
0.02,1034,90.0,0.5182186234817814
0.02,1034,36.25,0.5519713261648745
0.02,1034,51.75,0.5430711610486891
0.02,1034,86.5,0.5
0.02,1034,22.25,0.5563139931740614
0.02,1034,66.5,0.5542635658914729
0.02,1034,35.0,0.5268817204301075
0.02,1034,45.0,0.5166051660516605
0.02,1034,65.0,0.5348837209302325
0.02,1034,77.25,0.5118110236220472
0.02,1034,53.75,0.539622641509434
0.02,1034,10.0,0.5755627009646302
0.02,1034,8.0,0.5865384615384616
0.02,1034,4.75,0.5938461538461538
0.02,1034,5.25,0.5851393188854489
0.02,1034,62.5,0.5419847328244275
0.02,1034,94.75,0.5121951219512195
0.02,1034,87.25,0.5100401606425703
0.02,1034,55.0,0.5547169811320755
0.02,1034,45.75,0.5092250922509225
0.02,1034,56.5,0.5265151515151515
0.02,1034,72.5,0.5215686274509804
0.02,1034,1.25,0.6554621848739496
0.02,1034,84.5,0.54
0.02,1034,58.5,0.5471698113207547
0.02,1034,26.25,0.5543859649122806
0.02,1034,50.25,0.5430711610486891
0.02,1034,37.0,0.5555555555555556
0.02,1034,0.0,1.0
0.02,1034,43.5,0.551094890510949
0.02,1034,10.75,0.5811688311688312
0.02,1034,42.25,0.5255474452554745
0.02,1034,47.75,0.5259259259259259
0.02,1034,71.25,0.5215686274509804
0.02,1034,57.75,0.5437262357414449
0.02,1034,12.75,0.5606557377049181
0.02,1034,82.5,0.5515873015873016
0.02,1034,53.0,0.5601503759398496
0.02,1034,14.0,0.570957095709571
0.02,1034,40.25,0.5359712230215827
0.02,1034,63.75,0.5405405405405406
0.02,1034,6.75,0.5880503144654088
0.02,1034,39.0,0.5373665480427047
0.02,1034,20.25,0.5704697986577181
0.02,1034,99.25,0.49795918367346936
0.02,1034,21.5,0.5494880546075085
0.02,1034,67.0,0.5077519379844961
0.02,1034,33.5,0.5406360424028268
0.02,1034,76.5,0.5118110236220472
0.02,1034,39.5,0.5340501792114696
0.02,1034,96.0,0.49387755102040815
0.02,1034,55.75,0.5454545454545454
0.02,1034,48.25,0.5222222222222223
0.02,1034,24.25,0.5709342560553633
0.02,1034,27.5,0.5229681978798587
0.02,1034,63.0,0.5307692307692308
0.02,1034,0.75,0.5930851063829787
0.02,1034,37.5,0.5214285714285715
0.02,1034,11.5,0.5765472312703583
0.02,1034,61.0,0.5416666666666666
